"filename", "language", "Java", "comment", "blank", "total"
"d:\Programing\java\FinalProject\demo\src\main\java\thefinal\guipart\TextGUI.java", "Java", 23, 0, 6, 29
"Total", "-", 23, 0, 6, 29
