"filename", "language", "XML", "Java", "comment", "blank", "total"
"d:\Programing\java\FinalProject\demo\pom.xml", "XML", 65, 0, 4, 7, 76
"d:\Programing\java\FinalProject\demo\src\main\java\thefinal\App.java", "Java", 0, 11, 4, 3, 18
"d:\Programing\java\FinalProject\demo\src\main\java\thefinal\guipart\EditorGUI.java", "Java", 0, 87, 1, 14, 102
"d:\Programing\java\FinalProject\demo\src\main\java\thefinal\guipart\TheGUI.java", "Java", 0, 58, 3, 9, 70
"d:\Programing\java\FinalProject\demo\src\main\java\thefinal\pagepart\PageManager.java", "Java", 0, 8, 0, 5, 13
"d:\Programing\java\FinalProject\demo\src\main\java\thefinal\pagepart\PageObject.java", "Java", 0, 18, 0, 5, 23
"d:\Programing\java\FinalProject\demo\src\main\java\thefinal\pagepart\ShapeComponent.java", "Java", 0, 9, 0, 3, 12
"d:\Programing\java\FinalProject\demo\src\test\java\thefinal\AppTest.java", "Java", 0, 11, 6, 4, 21
"d:\Programing\java\FinalProject\demo\target\classes\thefinal\App.class", "Java", 0, 11, 0, 0, 11
"d:\Programing\java\FinalProject\demo\target\classes\thefinal\guipart\EditorGUI$TempShit.class", "Java", 0, 13, 1, 0, 14
"d:\Programing\java\FinalProject\demo\target\classes\thefinal\guipart\EditorGUI.class", "Java", 0, 26, 0, 0, 26
"d:\Programing\java\FinalProject\demo\target\classes\thefinal\guipart\TheGUI.class", "Java", 0, 35, 0, 0, 35
"d:\Programing\java\FinalProject\demo\target\classes\thefinal\pagepart\PageManager.class", "Java", 0, 8, 0, 0, 8
"d:\Programing\java\FinalProject\demo\target\classes\thefinal\pagepart\PageObject.class", "Java", 0, 19, 0, 0, 19
"d:\Programing\java\FinalProject\demo\target\classes\thefinal\pagepart\ShapeComponent.class", "Java", 0, 6, 0, 0, 6
"d:\Programing\java\FinalProject\demo\target\test-classes\thefinal\AppTest.class", "Java", 0, 11, 0, 0, 11
"Total", "-", 65, 331, 19, 50, 465
