Date : 2022-11-10 12:18:21
Directory : d:\Programing\java\FinalProject\demo
Total : 70 files,  2151 codes, 211 comments, 283 blanks, all 2645 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Java     |         68 |      2,083 |        207 |        275 |      2,565 |
| XML      |          1 |         65 |          4 |          7 |         76 |
| Markdown |          1 |          3 |          0 |          1 |          4 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                      | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                         |         70 |      2,151 |        211 |        283 |      2,645 |
| src                                                                                                       |         30 |      1,252 |        183 |        270 |      1,705 |
| src\main                                                                                                  |         29 |      1,241 |        177 |        266 |      1,684 |
| src\main\java                                                                                             |         29 |      1,241 |        177 |        266 |      1,684 |
| src\main\java\thefinal                                                                                    |         29 |      1,241 |        177 |        266 |      1,684 |
| src\main\java\thefinal\SceneSystem                                                                        |          5 |        244 |         46 |         55 |        345 |
| src\main\java\thefinal\ViewModelSystem                                                                    |          4 |         57 |         25 |         12 |         94 |
| src\main\java\thefinal\guipart                                                                            |         12 |        636 |         54 |        123 |        813 |
| src\main\java\thefinal\guipart\NumberInput                                                                |          3 |         76 |          7 |         27 |        110 |
| src\main\java\thefinal\pagepart                                                                           |          6 |        237 |         24 |         60 |        321 |
| src\main\java\thefinal\pagepart\ShapePart                                                                 |          2 |         63 |         13 |         18 |         94 |
| src\test                                                                                                  |          1 |         11 |          6 |          4 |         21 |
| src\test\java                                                                                             |          1 |         11 |          6 |          4 |         21 |
| src\test\java\thefinal                                                                                    |          1 |         11 |          6 |          4 |         21 |
| target                                                                                                    |         38 |        831 |         24 |          5 |        860 |
| target\classes                                                                                            |         37 |        820 |         24 |          5 |        849 |
| target\classes\thefinal                                                                                   |         37 |        820 |         24 |          5 |        849 |
| target\classes\thefinal\SceneSystem                                                                       |          5 |        135 |         18 |          2 |        155 |
| target\classes\thefinal\ViewModelSystem                                                                   |          4 |         40 |          0 |          0 |         40 |
| target\classes\thefinal\guipart                                                                           |         20 |        457 |          6 |          2 |        465 |
| target\classes\thefinal\guipart\NumberInput                                                               |          3 |         51 |          0 |          0 |         51 |
| target\classes\thefinal\pagepart                                                                          |          6 |        142 |          0 |          1 |        143 |
| target\classes\thefinal\pagepart\ShapePart                                                                |          2 |         39 |          0 |          0 |         39 |
| target\test-classes                                                                                       |          1 |         11 |          0 |          0 |         11 |
| target\test-classes\thefinal                                                                              |          1 |         11 |          0 |          0 |         11 |
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                  | language | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| d:\Programing\java\FinalProject\demo\pom.xml                                                              | XML      |         65 |          4 |          7 |         76 |
| d:\Programing\java\FinalProject\demo\readme.md                                                            | Markdown |          3 |          0 |          1 |          4 |
| d:\Programing\java\FinalProject\demo\src\main\java\thefinal\App.java                                      | Java     |         10 |          7 |          3 |         20 |
| d:\Programing\java\FinalProject\demo\src\main\java\thefinal\GlobalModel.java                              | Java     |         57 |         21 |         13 |         91 |
| d:\Programing\java\FinalProject\demo\src\main\java\thefinal\SceneSystem\ActorFactory.java                 | Java     |          9 |          0 |          3 |         12 |
| d:\Programing\java\FinalProject\demo\src\main\java\thefinal\SceneSystem\ActorObject.java                  | Java     |         70 |         31 |         11 |        112 |
| d:\Programing\java\FinalProject\demo\src\main\java\thefinal\SceneSystem\SmallPort.java                    | Java     |         48 |          2 |          9 |         59 |
| d:\Programing\java\FinalProject\demo\src\main\java\thefinal\SceneSystem\StageMouseListener.java           | Java     |         53 |          8 |         20 |         81 |
| d:\Programing\java\FinalProject\demo\src\main\java\thefinal\SceneSystem\StageObject.java                  | Java     |         64 |          5 |         12 |         81 |
| d:\Programing\java\FinalProject\demo\src\main\java\thefinal\ViewModelSystem\ModelConstract.java           | Java     |          4 |          0 |          1 |          5 |
| d:\Programing\java\FinalProject\demo\src\main\java\thefinal\ViewModelSystem\ModelMaintainer.java          | Java     |         20 |          5 |          5 |         30 |
| d:\Programing\java\FinalProject\demo\src\main\java\thefinal\ViewModelSystem\ViewConstract.java            | Java     |          4 |          0 |          1 |          5 |
| d:\Programing\java\FinalProject\demo\src\main\java\thefinal\ViewModelSystem\ViewMaintainer.java           | Java     |         29 |         20 |          5 |         54 |
| d:\Programing\java\FinalProject\demo\src\main\java\thefinal\guipart\EditorGUI.java                        | Java     |        117 |          9 |         22 |        148 |
| d:\Programing\java\FinalProject\demo\src\main\java\thefinal\guipart\EditorGUIBtnActionListener.java       | Java     |         52 |          0 |          4 |         56 |
| d:\Programing\java\FinalProject\demo\src\main\java\thefinal\guipart\InfoGUI.java                          | Java     |        110 |          1 |         18 |        129 |
| d:\Programing\java\FinalProject\demo\src\main\java\thefinal\guipart\InfoGUIUpdater.java                   | Java     |         13 |          1 |          4 |         18 |
| d:\Programing\java\FinalProject\demo\src\main\java\thefinal\guipart\NumberInput\DoubleAreaListener.java   | Java     |         35 |          4 |         13 |         52 |
| d:\Programing\java\FinalProject\demo\src\main\java\thefinal\guipart\NumberInput\InputNumArea.java         | Java     |          7 |          0 |          4 |         11 |
| d:\Programing\java\FinalProject\demo\src\main\java\thefinal\guipart\NumberInput\IntAreaListener.java      | Java     |         34 |          3 |         10 |         47 |
| d:\Programing\java\FinalProject\demo\src\main\java\thefinal\guipart\PageSelectActionListener.java         | Java     |         13 |          2 |          3 |         18 |
| d:\Programing\java\FinalProject\demo\src\main\java\thefinal\guipart\PageSelectPanel.java                  | Java     |         62 |          7 |         14 |         83 |
| d:\Programing\java\FinalProject\demo\src\main\java\thefinal\guipart\QuickConstraintFactory.java           | Java     |         31 |         15 |          7 |         53 |
| d:\Programing\java\FinalProject\demo\src\main\java\thefinal\guipart\TextGUI.java                          | Java     |         75 |          3 |         11 |         89 |
| d:\Programing\java\FinalProject\demo\src\main\java\thefinal\guipart\TheGUI.java                           | Java     |         87 |          9 |         13 |        109 |
| d:\Programing\java\FinalProject\demo\src\main\java\thefinal\pagepart\Page.java                            | Java     |         27 |          3 |          8 |         38 |
| d:\Programing\java\FinalProject\demo\src\main\java\thefinal\pagepart\PageManager.java                     | Java     |          8 |          0 |          5 |         13 |
| d:\Programing\java\FinalProject\demo\src\main\java\thefinal\pagepart\PageMouseMoveListener.java           | Java     |         61 |          1 |         18 |         80 |
